"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso","Color"
"43","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"44","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"45","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"46","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"47","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"48","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
"49","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"50","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"51","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"52","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"53","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"54","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"55","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"56","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"57","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"58","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"59","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"60","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"61","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
