"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso","Color"
"62","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"63","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"64","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"65","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"66","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","$3.990",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"67","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"68","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"69","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"70","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"71","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"72","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
"73","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"74","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"75","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"76","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"77","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"78","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"79","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"80","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"81","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"82","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"83","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"84","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"85","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
"86","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"87","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"88","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"89","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"90","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","$3.990",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"91","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"92","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"93","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"94","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"95","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"96","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
"97","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"98","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"99","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"100","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"101","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"102","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"103","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"104","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"105","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"106","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"107","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"108","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"109","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
"110","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"111","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"112","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"113","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"114","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","$3.990",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"115","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"116","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"117","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"118","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"119","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"120","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
"121","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"122","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"123","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"124","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"125","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"126","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"127","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"128","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"129","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"130","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"131","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"132","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"133","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
"134","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"135","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"136","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"137","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"138","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","$3.990",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"139","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"140","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
