"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso"
"222","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"223","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"224","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"225","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"226","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"227","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"228","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"229","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"230","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"231","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"232","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"233","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"234","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"235","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"236","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"237","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"238","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"239","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"240","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
