"","Precio","Oferta","Opiniones","Ancho","Alto","Peso"
"1",-1.04919190027596,-1.05440875563466,-0.337121422288829,0.675718743830448,-2.74338129161535,-2.38672304823908
"2",-0.222330872089378,-0.401051455565763,4.68776209308993,1.89031713103822,2.67280359283154,1.22943136526865
"3",2.67168272656367,2.70032813336889,-0.337121422288829,1.27272473076308,-0.12677845892648,-1.41177596148612e-15
"4",1.43139118428379,1.45977629779503,-0.16678638786921,1.89031713103822,0.568542573536295,2.97790163114052
"5",-1.00784884886664,-0.979975645500231,0.00354864655040872,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"6",-1.13187800309462,-1.12470669298385,-0.337121422288829,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"7",-0.015615615042732,0.0124658229588567,-0.337121422288829,0.449268197062897,0.660032183070871,0.577728811625497
"8",0.294457270527238,0.322603781852322,-0.25195390507902,-0.168324203212242,-0.76720572566851,0.00550217915833902
"9",-0.015615615042732,0.0124658229588567,-0.16678638786921,-0.847675843514896,-1.18805792952756,-1.94960548177112
"10",1.0179606701905,1.04625901927041,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"11",0.604530156097207,0.425983101483477,0.429386232599456,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"12",1.0179606701905,1.04625901927041,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"13",1.0179606701905,1.04625901927041,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"14",0.604530156097207,0.632741740745786,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"15",0.191099642003914,0.0124658229588567,0.173883680970028,1.68445299761318,0.660032183070871,0.275720311156719
"16",-1.15461668136975,-1.12677427937647,-0.25195390507902,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"17",-1.12567654538322,-1.09782806987975,-0.25195390507902,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"18",-1.17322105450395,-1.14538255691008,-0.25195390507902,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"19",-0.348220463630786,-0.3202088276142,-0.337121422288829,0.86099646391299,-4.55050942166245e-15,-1.41177596148612e-15
"20",-0.840202775401805,-0.812294389058497,-0.337121422288829,-1.40350900376252,-4.55050942166245e-15,-1.41177596148612e-15
"21",-0.927023183361396,-0.899133017548668,-0.337121422288829,0.55220026377542,-1.3527392266898,-1.79065363941913
"22",0.294457270527238,0.322603781852322,-0.0816188706594008,-4.38825793676144e-15,-4.55050942166245e-15,0.593623995860696
"23",0.811245413143854,0.839500380008096,0.173883680970028,-0.991780736912428,-4.55050942166245e-15,-1.41177596148612e-15
"24",-0.945834271752641,-0.917948053721538,-0.337121422288829,-1.07412639028245,-1.38933507050363,-1.41177596148612e-15
"25",-1.04919190027596,-1.05440875563466,-0.337121422288829,0.675718743830448,-2.74338129161535,-2.38672304823908
"26",-0.222330872089378,-0.401051455565763,4.68776209308993,1.89031713103822,2.67280359283154,1.22943136526865
"27",2.67168272656367,2.70032813336889,-0.337121422288829,1.27272473076308,-0.12677845892648,-1.41177596148612e-15
"28",1.43139118428379,1.45977629779503,-0.16678638786921,1.89031713103822,0.568542573536295,2.97790163114052
"29",-1.00784884886664,-0.979975645500231,0.00354864655040872,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"30",-1.13187800309462,-1.12470669298385,-0.337121422288829,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"31",-0.015615615042732,0.0124658229588567,-0.337121422288829,0.449268197062897,0.660032183070871,0.577728811625497
"32",0.294457270527238,0.322603781852322,-0.25195390507902,-0.168324203212242,-0.76720572566851,0.00550217915833902
"33",-0.015615615042732,0.0124658229588567,-0.16678638786921,-0.847675843514896,-1.18805792952756,-1.94960548177112
"34",1.0179606701905,1.04625901927041,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"35",0.604530156097207,0.425983101483477,0.429386232599456,-4.38825793676144e-15,-4.55050942166245e-15,-1.41177596148612e-15
"36",1.0179606701905,1.04625901927041,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"37",1.0179606701905,1.04625901927041,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
"38",0.604530156097207,0.632741740745786,-0.337121422288829,-1.19764487033747,0.751521792605447,0.116768468804731
